Player Name,Appearance_Total,Appearance_Starts,Appearance_Subs,Appearance_UnusedSubs,No of Goals,No of Assists,MatchTime (mins),Mins per goal,Yellow cards,Red cards
Mohammed Salah,27,23,4,0,18,3,2092,116,1,0
Virgil van Dijk,21,21,0,5,1,1,1860,1860,2,1
Dominik Szoboszlai,26,21,5,3,4,2,1843,461,1,0
Trent Alexander-Arnold,24,20,4,1,3,7,1825,608,5,0
Alisson Becker,20,20,0,4,0,0,1800,0,1,0
Luis Diaz,26,19,7,3,6,1,1693,282,3,0
Joe Gomez,27,15,12,2,0,2,1660,0,2,0
Darwin Nunez,27,17,10,4,8,10,1587,198,6,0
Ibrahima Konate,22,16,6,5,0,1,1489,0,3,0
Alexis Mac Allister,21,17,4,3,1,1,1476,1476,4,1
Cody Gakpo,27,16,11,1,9,2,1474,164,1,0
Wataru Endo,24,17,7,4,2,1,1290,645,6,0
Harvey Elliott,25,13,12,6,1,2,1275,1275,3,0
Curtis Jones,19,14,5,4,4,1,1256,314,1,1
Kostas Tsimikas,17,15,2,10,0,2,1228,0,0,0
Ryan Gravenberch,23,13,10,1,2,1,1134,567,1,0
Diogo Jota,21,12,9,1,9,2,1126,125,2,1
Joel Matip,14,12,2,7,0,0,1060,0,2,0
Jarell Quansah,15,11,4,12,1,2,1006,1006,0,0
Caoimhin Kelleher,11,11,0,18,0,0,990,0,0,0
Andy Robertson,8,8,0,1,1,0,720,720,1,0
Ben Doak,4,4,0,11,0,0,233,0,0,0
Conor Bradley,4,2,2,7,0,0,216,0,0,0
Luke Chambers,3,2,1,8,0,0,130,0,0,0
Kaide Gordon,1,1,0,5,0,0,75,0,0,0
Stefan Bajcetic,2,1,1,4,0,0,71,0,1,0
Calum Scanlon,2,0,2,4,0,0,50,0,0,0
James McConnell,3,0,3,11,0,0,16,0,0,0
Bobby Clark,1,0,1,3,0,0,15,0,1,0
Vitezslav Jaros,0,0,0,3,0,0,0,0,0,0
Adrian,0,0,0,8,0,0,0,0,0,0
Thomas Hill,0,0,0,1,0,0,0,0,0,0
Marcelo Pitaluga,0,0,0,3,0,0,0,0,0,0
Owen Beck,0,0,0,1,0,0,0,0,0,0
Tyler Morton,0,0,0,2,0,0,0,0,0,0
Fabian Mrozek,0,0,0,3,0,0,0,0,0,0
Trey Nyoni,0,0,0,3,0,0,0,0,0,0
